	gene_short_name
CYP3A5	CYP3A5
CYP46A1	CYP46A1
CYTH1	CYTH1
CYTH3	CYTH3
CYTIP	CYTIP
DAAM1	DAAM1
DAB2IP	DAB2IP
DAB2	DAB2
DACT3	DACT3
DAG1	DAG1
DAPK2	DAPK2
DARS	DARS
DAZAP1	DAZAP1
DAZL	DAZL
DBF4	DBF4
DBH	DBH
DCAF10	DCAF10
DCAF11	DCAF11
DCAF17	DCAF17
DCBLD2	DCBLD2
DCLRE1B	DCLRE1B
DCN	DCN
DCT	DCT
DCUN1D4	DCUN1D4
DCX	DCX
DDHD1	DDHD1
DDHD2	DDHD2
DDR2	DDR2
DDX17	DDX17
DDX1	DDX1
DDX20	DDX20
DDX24	DDX24
DDX25	DDX25
DDX31	DDX31
DDX43	DDX43
DDX50	DDX50
DDX54	DDX54
DDX58	DDX58
DDX59	DDX59
DDX5	DDX5
DDX6	DDX6
DEFB126	DEFB126
DEK	DEK
DENND1A	DENND1A
DEPDC1B	DEPDC1B
DEPDC5	DEPDC5
DEPDC7	DEPDC7
DERA	DERA
DERL2	DERL2
DGCR2	DGCR2
DGKD	DGKD
DGKG	DGKG
DGKH	DGKH
DHCR24	DHCR24
DHDDS	DHDDS
DHRS12	DHRS12
DHRS7B	DHRS7B
DHRS7	DHRS7
DHRS9	DHRS9
DHX15	DHX15
DHX29	DHX29
DHX32	DHX32
DHX33	DHX33
DHX35	DHX35
DHX8	DHX8
DICER1	DICER1
DIDO1	DIDO1
DIP2B	DIP2B
DIS3	DIS3
DLD	DLD
DLEC1	DLEC1
DLG1	DLG1
DLGAP3	DLGAP3
DLX4	DLX4
DLX5	DLX5
DMC1	DMC1
DMPK	DMPK
DMXL2	DMXL2
DNAH11	DNAH11
DNAH5	DNAH5
DNAH6	DNAH6
DNAH7	DNAH7
DNAH8	DNAH8
DNAH9	DNAH9
DNAI1	DNAI1
DNAJA2	DNAJA2
DNAJA3	DNAJA3
DNAJC10	DNAJC10
DNAJC11	DNAJC11
DNAJC12	DNAJC12
DNAJC15	DNAJC15
DNAJC17	DNAJC17
DNAJC25	DNAJC25
DNAJC27	DNAJC27
DNAJC2	DNAJC2
DNAJC3	DNAJC3
DNAJC5	DNAJC5
DNAJC6	DNAJC6
DNAL1	DNAL1
DNAL4	DNAL4
DNM1L	DNM1L
DNM2	DNM2
DNMBP	DNMBP
DNMT3A	DNMT3A
DNPEP	DNPEP
DNTTIP2	DNTTIP2
DOCK3	DOCK3
DOCK7	DOCK7
DOCK8	DOCK8
DOCK9	DOCK9
DOK5	DOK5
DOPEY1	DOPEY1
DPEP1	DPEP1
DPH5	DPH5
DPM1	DPM1
DPP8	DPP8
DPPA4	DPPA4
DPYSL2	DPYSL2
DRP2	DRP2
DSE	DSE
DSG2	DSG2
DSP	DSP
DTD1	DTD1
DTNBP1	DTNBP1
DTWD1	DTWD1
DUS4L	DUS4L
DUSP12	DUSP12
DUSP16	DUSP16
DUSP1	DUSP1
DUSP22	DUSP22
DUSP4	DUSP4
DYNC1I2	DYNC1I2
DYRK4	DYRK4
EBF3	EBF3
EBNA1BP2	EBNA1BP2
EBPL	EBPL
ECD	ECD
ECHDC1	ECHDC1
ECHDC2	ECHDC2
ECM2	ECM2
ECT2	ECT2
EDEM3	EDEM3
EDN1	EDN1
EDN3	EDN3
EEA1	EEA1
EED	EED
EEF1B2	EEF1B2
EEF2K	EEF2K
EFEMP1	EFEMP1
EFHC1	EFHC1
EFHD1	EFHD1
EFNA1	EFNA1
EFR3B	EFR3B
EGR1	EGR1
EGR2	EGR2
EHBP1	EHBP1
EHD4	EHD4
EHHADH	EHHADH
EIF1B	EIF1B
EIF2AK1	EIF2AK1
EIF2B1	EIF2B1
EIF2B3	EIF2B3
EIF2B4	EIF2B4
EIF3A	EIF3A
EIF3E	EIF3E
EIF3J	EIF3J
EIF3L	EIF3L
EIF4B	EIF4B
EIF4G3	EIF4G3
EIF4H	EIF4H
ELAC2	ELAC2
ELAVL1	ELAVL1
ELAVL2	ELAVL2
ELF1	ELF1
ELF2	ELF2
ELK3	ELK3
ELL3	ELL3
ELMOD1	ELMOD1
ELMOD3	ELMOD3
ELOVL4	ELOVL4
ELOVL5	ELOVL5
ELP4	ELP4
EML1	EML1
ENO3	ENO3
ENOX1	ENOX1
ENPP4	ENPP4
ENY2	ENY2
EOMES	EOMES
EP300	EP300
EPAS1	EPAS1
EPB41L2	EPB41L2
EPB41L3	EPB41L3
EPB41L4B	EPB41L4B
EPB41L5	EPB41L5
EPC1	EPC1
EPCAM	EPCAM
EPDR1	EPDR1
EPHA3	EPHA3
EPHA4	EPHA4
EPHA6	EPHA6
EPM2A	EPM2A
EPN3	EPN3
EPS15	EPS15
EPX	EPX
EPYC	EPYC
ERBB3	ERBB3
ERC1	ERC1
ERCC1	ERCC1
ERCC8	ERCC8
EREG	EREG
ERF	ERF
ERGIC2	ERGIC2
ERG	ERG
ERI1	ERI1
ERI3	ERI3
ERICH1	ERICH1
ERLEC1	ERLEC1
ERLIN1	ERLIN1
ERMP1	ERMP1
ERP44	ERP44
ESF1	ESF1
ESR1	ESR1
ESRP1	ESRP1
ESRP2	ESRP2
ESYT2	ESYT2
ETF1	ETF1
ETHE1	ETHE1
ETV1	ETV1
EVI5	EVI5
EXD2	EXD2
EXOC1	EXOC1
EXOC2	EXOC2
EXOC5	EXOC5
EXOSC8	EXOSC8
EXPH5	EXPH5
EYA1	EYA1
EYA2	EYA2
EYA4	EYA4
EZH1	EZH1
EZH2	EZH2
F13A1	F13A1
F9	F9
FAAH	FAAH
FAF2	FAF2
FAM101B	FAM101B
FAM107B	FAM107B
FAM114A2	FAM114A2
FAM117A	FAM117A
FAM120A	FAM120A
FAM120B	FAM120B
FAM124B	FAM124B
FAM126A	FAM126A
FAM135A	FAM135A
FAM13B	FAM13B
FAM168A	FAM168A
FAM172A	FAM172A
FAM173A	FAM173A
FAM184A	FAM184A
FAM184B	FAM184B
FAM189A1	FAM189A1
FAM193A	FAM193A
FAM195B	FAM195B
FAM199X	FAM199X
FAM20A	FAM20A
FAM35A	FAM35A
FAM45A	FAM45A
FAM46A	FAM46A
FAM53C	FAM53C
FAM76A	FAM76A
FAM76B	FAM76B
FAM83D	FAM83D
FANCE	FANCE
FANCL	FANCL
FAP	FAP
FAR2	FAR2
FARSB	FARSB
FASLG	FASLG
FASTKD2	FASTKD2
FAS	FAS
FBLN1	FBLN1
FBXL15	FBXL15
FBXL20	FBXL20
FBXL3	FBXL3
FBXL4	FBXL4
FBXL5	FBXL5
FBXO30	FBXO30
FBXO31	FBXO31
FBXO3	FBXO3
FBXO5	FBXO5
FBXO7	FBXO7
FBXO9	FBXO9
FBXW11	FBXW11
FBXW2	FBXW2
FBXW4	FBXW4
FBXW7	FBXW7
FCF1	FCF1
FDFT1	FDFT1
FERMT2	FERMT2
FETUB	FETUB
FGF10	FGF10
FGF12	FGF12
FGF14	FGF14
FGF1	FGF1
FGF20	FGF20
FGF21	FGF21
FGF8	FGF8
FGFR1	FGFR1
FGFR2	FGFR2
FGFR3	FGFR3
FGL1	FGL1
FHL1	FHL1
FHL2	FHL2
FHL5	FHL5
FH	FH
FIG4	FIG4
FILIP1	FILIP1
FKBP14	FKBP14
FKBP15	FKBP15
FKBP3	FKBP3
FKBP5	FKBP5
FKBP7	FKBP7
FKBP9	FKBP9
FKTN	FKTN
FLT1	FLT1
FLT3	FLT3
FLVCR2	FLVCR2
FLYWCH1	FLYWCH1
FMO1	FMO1
FMO3	FMO3
FMO4	FMO4
FMO6P	FMO6P
FMR1	FMR1
FN1	FN1
FNBP4	FNBP4
FNDC3A	FNDC3A
FNDC3B	FNDC3B
FNDC4	FNDC4
FNIP2	FNIP2
FOXA1	FOXA1
FOXA2	FOXA2
FOXC2	FOXC2
FOXF2	FOXF2
FOXJ2	FOXJ2
FOXN3	FOXN3
FOXO3	FOXO3
FOXP1	FOXP1
FOXRED1	FOXRED1
FRG1	FRG1
FRK	FRK
FRMD4B	FRMD4B
FRMPD1	FRMPD1
FRYL	FRYL
FRY	FRY
FSD1L	FSD1L
FSTL4	FSTL4
FTSJ3	FTSJ3
FUBP3	FUBP3
FUCA2	FUCA2
FUNDC1	FUNDC1
FUS	FUS
FUT8	FUT8
FUZ	FUZ
FXR1	FXR1
FXYD5	FXYD5
FYN	FYN
FYTTD1	FYTTD1
FZD3	FZD3
G2E3	G2E3
GAB1	GAB1
GAB2	GAB2
GABRA1	GABRA1
GABRA3	GABRA3
GABRA4	GABRA4
GABRE	GABRE
GABRG2	GABRG2
GABRP	GABRP
GABRR2	GABRR2
GADD45A	GADD45A
GALC	GALC
GALNT12	GALNT12
GALNT3	GALNT3
GALNT7	GALNT7
GALNTL5	GALNTL5
GARS	GARS
GAS7	GAS7
GBE1	GBE1
GBF1	GBF1
GBP3	GBP3
GCA	GCA
GCG	GCG
GCKR	GCKR
GCK	GCK
GCLC	GCLC
GCLM	GCLM
GCNT2	GCNT2
GDAP1L1	GDAP1L1
GDAP1	GDAP1
GDA	GDA
GDE1	GDE1
GDI2	GDI2
GEMIN5	GEMIN5
GEMIN8	GEMIN8
GHRHR	GHRHR
GHR	GHR
GIMAP2	GIMAP2
GINS1	GINS1
GLCCI1	GLCCI1
GLG1	GLG1
GLI2	GLI2
GLI3	GLI3
GLIPR2	GLIPR2
GLIS3	GLIS3
GLRA2	GLRA2
GLRB	GLRB
GLRX3	GLRX3
GLS	GLS
GLT8D2	GLT8D2
GMCL1	GMCL1
GMDS	GMDS
GML	GML
GMNN	GMNN
GMPR2	GMPR2
GNA13	GNA13
GNAI2	GNAI2
GNAI3	GNAI3
GNAO1	GNAO1
GNAS	GNAS
GNB1	GNB1
GNB4	GNB4
GNLY	GNLY
GNPDA1	GNPDA1
GNPNAT1	GNPNAT1
GNPTAB	GNPTAB
GNRHR	GNRHR
GOLGA5	GOLGA5
GOLPH3	GOLPH3
GOLT1B	GOLT1B
GON4L	GON4L
GOPC	GOPC
GORAB	GORAB
GORASP2	GORASP2
GOSR1	GOSR1
GOT1	GOT1
GPAM	GPAM
GPATCH1	GPATCH1
GPATCH2	GPATCH2
GPBP1	GPBP1
GPC4	GPC4
GPCPD1	GPCPD1
GPD2	GPD2
GPLD1	GPLD1
GPM6B	GPM6B
GPR137B	GPR137B
GPR63	GPR63
GPRC5A	GPRC5A
GPSM2	GPSM2
GPX7	GPX7
GRAMD1A	GRAMD1A
GRAMD1B	GRAMD1B
GRAMD4	GRAMD4
GRB10	GRB10
GRB14	GRB14
GREM1	GREM1
GRHL2	GRHL2
GRIA2	GRIA2
GRIA3	GRIA3
GRIN2D	GRIN2D
GRK4	GRK4
GSC	GSC
GSG1	GSG1
GSK3A	GSK3A
GSK3B	GSK3B
GSPT1	GSPT1
GSS	GSS
GSTO2	GSTO2
GSTP1	GSTP1
GTDC1	GTDC1
GTF2H3	GTF2H3
GTF2IRD1	GTF2IRD1
GTF3A	GTF3A
GTF3C1	GTF3C1
GTF3C3	GTF3C3
GTPBP10	GTPBP10
GTPBP1	GTPBP1
