	gene_short_name
SLC19A2	SLC19A2
SLC1A1	SLC1A1
SLC1A2	SLC1A2
SLC1A3	SLC1A3
SLC1A5	SLC1A5
SLC22A16	SLC22A16
SLC23A2	SLC23A2
SLC24A1	SLC24A1
SLC25A12	SLC25A12
SLC25A13	SLC25A13
SLC25A14	SLC25A14
SLC25A16	SLC25A16
SLC25A23	SLC25A23
SLC25A24	SLC25A24
SLC25A36	SLC25A36
SLC25A40	SLC25A40
SLC26A3	SLC26A3
SLC26A4	SLC26A4
SLC27A5	SLC27A5
SLC27A6	SLC27A6
SLC29A1	SLC29A1
SLC2A9	SLC2A9
SLC30A9	SLC30A9
SLC35A3	SLC35A3
SLC35B3	SLC35B3
SLC35D1	SLC35D1
SLC35F5	SLC35F5
SLC39A9	SLC39A9
SLC44A1	SLC44A1
SLC46A1	SLC46A1
SLC4A4	SLC4A4
SLC4A7	SLC4A7
SLC4A8	SLC4A8
SLC5A1	SLC5A1
SLC5A4	SLC5A4
SLC5A7	SLC5A7
SLC6A15	SLC6A15
SLC6A16	SLC6A16
SLC6A7	SLC6A7
SLC7A14	SLC7A14
SLC7A2	SLC7A2
SLC9A2	SLC9A2
SLCO1A2	SLCO1A2
SLCO1B3	SLCO1B3
SLCO4A1	SLCO4A1
SLITRK3	SLITRK3
SLK	SLK
SMAD2	SMAD2
SMAD3	SMAD3
SMAD4	SMAD4
SMAD5	SMAD5
SMAD7	SMAD7
SMAD9	SMAD9
SMAP1	SMAP1
SMAP2	SMAP2
SMARCA1	SMARCA1
SMARCA2	SMARCA2
SMARCB1	SMARCB1
SMC1A	SMC1A
SMC1B	SMC1B
SMC3	SMC3
SMCHD1	SMCHD1
SMG6	SMG6
SMG7	SMG7
SMNDC1	SMNDC1
SMOC2	SMOC2
SMOX	SMOX
SMPD3	SMPD3
SMR3A	SMR3A
SMS	SMS
SMUG1	SMUG1
SMURF2	SMURF2
SMYD1	SMYD1
SNAI1	SNAI1
SNAI2	SNAI2
SNAP91	SNAP91
SNCAIP	SNCAIP
SNRNP27	SNRNP27
SNRPD3	SNRPD3
SNW1	SNW1
SNX10	SNX10
SNX11	SNX11
SNX13	SNX13
SNX16	SNX16
SNX17	SNX17
SNX19	SNX19
SNX1	SNX1
SNX24	SNX24
SNX25	SNX25
SNX29	SNX29
SNX3	SNX3
SNX8	SNX8
SOAT1	SOAT1
SOBP	SOBP
SOD3	SOD3
SOHLH2	SOHLH2
SORBS1	SORBS1
SORBS3	SORBS3
SORCS1	SORCS1
SOS1	SOS1
SOS2	SOS2
SOX21	SOX21
SOX4	SOX4
SOX6	SOX6
SOX9	SOX9
SP100	SP100
SP140	SP140
SP4	SP4
SPA17	SPA17
SPACA1	SPACA1
SPAG1	SPAG1
SPAG4	SPAG4
SPAG6	SPAG6
SPAG9	SPAG9
SPAM1	SPAM1
SPAST	SPAST
SPATA1	SPATA1
SPATA20	SPATA20
SPATA7	SPATA7
SPATS2	SPATS2
SPCS2	SPCS2
SPEN	SPEN
SPG11	SPG11
SPG21	SPG21
SPI1	SPI1
SPIN1	SPIN1
SPINK4	SPINK4
SPO11	SPO11
SPOP	SPOP
SPP1	SPP1
SPP2	SPP2
SPSB2	SPSB2
SPTBN1	SPTBN1
SPTB	SPTB
SPTLC1	SPTLC1
SPTLC2	SPTLC2
SRBD1	SRBD1
SREBF1	SREBF1
SRGN	SRGN
SRI	SRI
SRPK1	SRPK1
SRRT	SRRT
SSBP1	SSBP1
SSH1	SSH1
SSPN	SSPN
SSR1	SSR1
SSX2IP	SSX2IP
ST13	ST13
ST3GAL4	ST3GAL4
ST3GAL6	ST3GAL6
ST6GALNAC1	ST6GALNAC1
ST6GALNAC5	ST6GALNAC5
ST7L	ST7L
ST8SIA1	ST8SIA1
ST8SIA4	ST8SIA4
ST8SIA5	ST8SIA5
STAG1	STAG1
STAG2	STAG2
STAG3L4	STAG3L4
STAM2	STAM2
STAMBP	STAMBP
STAP1	STAP1
STARD3NL	STARD3NL
STARD7	STARD7
STAT1	STAT1
STAU1	STAU1
STAU2	STAU2
STIL	STIL
STK10	STK10
STK11	STK11
STK17B	STK17B
STK24	STK24
STK25	STK25
STK38	STK38
STK3	STK3
STK4	STK4
STMN2	STMN2
STOML1	STOML1
STON1-GTF2A1L	STON1-GTF2A1L
STRADB	STRADB
STRAP	STRAP
STRN	STRN
STX10	STX10
STX12	STX12
STX2	STX2
STX7	STX7
STXBP3	STXBP3
STYK1	STYK1
SUFU	SUFU
SULT1E1	SULT1E1
SUMO1	SUMO1
SUN2	SUN2
SUPT16H	SUPT16H
SUSD1	SUSD1
SV2C	SV2C
SYDE2	SYDE2
SYF2	SYF2
SYNE2	SYNE2
SYNGR4	SYNGR4
SYPL1	SYPL1
SYT10	SYT10
SYT1	SYT1
SYTL4	SYTL4
TAB2	TAB2
TAC1	TAC1
TACR1	TACR1
TAF12	TAF12
TAF1B	TAF1B
TAF2	TAF2
TAF7L	TAF7L
TANC1	TANC1
TARBP1	TARBP1
TARDBP	TARDBP
TARS	TARS
TAS2R10	TAS2R10
TAS2R7	TAS2R7
TASP1	TASP1
TAX1BP1	TAX1BP1
TBC1D12	TBC1D12
TBC1D15	TBC1D15
TBC1D19	TBC1D19
TBC1D1	TBC1D1
TBC1D22A	TBC1D22A
TBC1D23	TBC1D23
TBC1D2	TBC1D2
TBC1D9	TBC1D9
TBCB	TBCB
TBL1X	TBL1X
TBPL1	TBPL1
TBX18	TBX18
TBX22	TBX22
TBX5	TBX5
TBXAS1	TBXAS1
TCERG1	TCERG1
TCF20	TCF20
TCF21	TCF21
TCF3	TCF3
TCF4	TCF4
TCF7L2	TCF7L2
TCTN3	TCTN3
TDP1	TDP1
TDP2	TDP2
TDRD1	TDRD1
TDRD3	TDRD3
TEK	TEK
TESK2	TESK2
TEX11	TEX11
TEX14	TEX14
TFAM	TFAM
TFAP2D	TFAP2D
TFAP4	TFAP4
TFB1M	TFB1M
TFCP2L1	TFCP2L1
TFDP2	TFDP2
TFEB	TFEB
TFEC	TFEC
TFG	TFG
TFPI2	TFPI2
TFPI	TFPI
TFPT	TFPT
TGDS	TGDS
TGFB1I1	TGFB1I1
TGFB1	TGFB1
TGFB2	TGFB2
TGFB3	TGFB3
TGFBI	TGFBI
TGFBR1	TGFBR1
TGFBR2	TGFBR2
TGFBR3	TGFBR3
TG	TG
THADA	THADA
THBS4	THBS4
THG1L	THG1L
THOC1	THOC1
THOC2	THOC2
THOC3	THOC3
THOC5	THOC5
THRAP3	THRAP3
THSD7A	THSD7A
TIA1	TIA1
TIE1	TIE1
TIMM50	TIMM50
TINF2	TINF2
TIPIN	TIPIN
TJP1	TJP1
TJP2	TJP2
TLE4	TLE4
TLL1	TLL1
TLL2	TLL2
TM7SF3	TM7SF3
TM9SF1	TM9SF1
TM9SF2	TM9SF2
TM9SF3	TM9SF3
TMC5	TMC5
TMCC3	TMCC3
TMCO6	TMCO6
TMED1	TMED1
TMED5	TMED5
TMED8	TMED8
TMEM100	TMEM100
TMEM106B	TMEM106B
TMEM131	TMEM131
TMEM156	TMEM156
TMEM159	TMEM159
TMEM176A	TMEM176A
TMEM189-UBE2V1	TMEM189-UBE2V1
TMEM205	TMEM205
TMEM206	TMEM206
TMEM30A	TMEM30A
TMEM33	TMEM33
TMEM38A	TMEM38A
TMEM38B	TMEM38B
TMEM59	TMEM59
TMEM5	TMEM5
TMEM87A	TMEM87A
TMPO	TMPO
TMSB10	TMSB10
TMTC4	TMTC4
TNFAIP1	TNFAIP1
TNFAIP3	TNFAIP3
TNFAIP6	TNFAIP6
TNFRSF10A	TNFRSF10A
TNFRSF12A	TNFRSF12A
TNFRSF1B	TNFRSF1B
TNFRSF8	TNFRSF8
TNFSF10	TNFSF10
TNFSF11	TNFSF11
TNFSF13B	TNFSF13B
TNFSF18	TNFSF18
TNFSF8	TNFSF8
TNIP3	TNIP3
TNK2	TNK2
TNKS2	TNKS2
TNNI3K	TNNI3K
TNN	TNN
TNPO1	TNPO1
TNPO3	TNPO3
TNRC6A	TNRC6A
TNRC6B	TNRC6B
TNRC6C	TNRC6C
TNR	TNR
TOP2B	TOP2B
TOX2	TOX2
TOX3	TOX3
TOX4	TOX4
TP53BP1	TP53BP1
TP53TG5	TP53TG5
TP63	TP63
TPD52L1	TPD52L1
TPD52L2	TPD52L2
TPD52	TPD52
TPO	TPO
TPR	TPR
TRAF1	TRAF1
TRAF3IP2	TRAF3IP2
TRAF4	TRAF4
TRAK2	TRAK2
TRAM1	TRAM1
TRAM2	TRAM2
TRAPPC3	TRAPPC3
TRDMT1	TRDMT1
TREH	TREH
TRERF1	TRERF1
TRHDE	TRHDE
TRIM14	TRIM14
TRIM23	TRIM23
TRIM24	TRIM24
TRIM28	TRIM28
TRIM2	TRIM2
TRIM32	TRIM32
TRIM37	TRIM37
TRIM38	TRIM38
TRIM62	TRIM62
TRIM67	TRIM67
TRIM6	TRIM6
TRIM9	TRIM9
TRIO	TRIO
TRIP10	TRIP10
TRIP11	TRIP11
TRIP6	TRIP6
TRIT1	TRIT1
TRMT11	TRMT11
TROVE2	TROVE2
TRPA1	TRPA1
TRPC4AP	TRPC4AP
TRPC5	TRPC5
TRPC7	TRPC7
TRPM3	TRPM3
TRPM5	TRPM5
TRPM6	TRPM6
TRPM7	TRPM7
TRPS1	TRPS1
TSC22D1	TSC22D1
TSC2	TSC2
TSFM	TSFM
TSNAXIP1	TSNAXIP1
TSNAX	TSNAX
TSPAN12	TSPAN12
TSPAN13	TSPAN13
TSPAN15	TSPAN15
TSPAN17	TSPAN17
TSTA3	TSTA3
TTC17	TTC17
TTC19	TTC19
TTC1	TTC1
TTC21B	TTC21B
TTC23	TTC23
TTC26	TTC26
TTC27	TTC27
TTC28	TTC28
TTC33	TTC33
TTF1	TTF1
TTF2	TTF2
TTK	TTK
TTLL5	TTLL5
TTL	TTL
TULP2	TULP2
TUSC3	TUSC3
TWIST1	TWIST1
TXLNG	TXLNG
TXNDC12	TXNDC12
TXNDC15	TXNDC15
TXNDC16	TXNDC16
TXNDC9	TXNDC9
TXNL1	TXNL1
TYRP1	TYRP1
TYR	TYR
UAP1	UAP1
UBA5	UBA5
UBA6	UBA6
UBE2A	UBE2A
UBE2B	UBE2B
UBE2D1	UBE2D1
UBE2D3	UBE2D3
UBE2R2	UBE2R2
UBE2S	UBE2S
UBE2T	UBE2T
UBE2W	UBE2W
UBE3A	UBE3A
UBE3C	UBE3C
UBE4A	UBE4A
UBL3	UBL3
UBN1	UBN1
UBR2	UBR2
UBR5	UBR5
UCHL3	UCHL3
UCHL5	UCHL5
UFSP2	UFSP2
UGDH	UGDH
UGGT2	UGGT2
UGT2B10	UGT2B10
UHRF1BP1L	UHRF1BP1L
UHRF1BP1	UHRF1BP1
UIMC1	UIMC1
ULK2	ULK2
UMPS	UMPS
UNC5A	UNC5A
UNC93A	UNC93A
UNC93B1	UNC93B1
UNKL	UNKL
UPB1	UPB1
UPF3B	UPF3B
UPK1B	UPK1B
UPP2	UPP2
UPRT	UPRT
URGCP	URGCP
USH2A	USH2A
USP10	USP10
USP11	USP11
USP13	USP13
USP14	USP14
USP28	USP28
USP31	USP31
USP34	USP34
USP35	USP35
USP36	USP36
USP40	USP40
USP42	USP42
USP45	USP45
USP46	USP46
USP48	USP48
USP4	USP4
USP5	USP5
USP9X	USP9X
UST	UST
UTP18	UTP18
UTP20	UTP20
UTS2	UTS2
UXS1	UXS1
VAC14	VAC14
VAMP4	VAMP4
VAMP7	VAMP7
VAPA	VAPA
VASN	VASN
VAT1	VAT1
VAX2	VAX2
VCAN	VCAN
VCL	VCL
VDR	VDR
VEGFA	VEGFA
VEZT	VEZT
VIM	VIM
VIPR1	VIPR1
VIPR2	VIPR2
VNN1	VNN1
VNN3	VNN3
VPS13D	VPS13D
VPS26A	VPS26A
VPS29	VPS29
VPS41	VPS41
VPS4B	VPS4B
VRK1	VRK1
VRK2	VRK2
VTA1	VTA1
VWA5A	VWA5A
VWF	VWF
WAC	WAC
WARS2	WARS2
WASF1	WASF1
WASL	WASL
WBP4	WBP4
WDFY1	WDFY1
WDR11	WDR11
WDR35	WDR35
WDR37	WDR37
WDR3	WDR3
WDR47	WDR47
WDR62	WDR62
WDR70	WDR70
WDR75	WDR75
WDR7	WDR7
WDR83	WDR83
WFDC3	WFDC3
WIPF1	WIPF1
WIPF3	WIPF3
WISP1	WISP1
WISP3	WISP3
WLS	WLS
WNK1	WNK1
WNT11	WNT11
WNT16	WNT16
WNT2	WNT2
WNT4	WNT4
WNT5A	WNT5A
WNT8A	WNT8A
WRNIP1	WRNIP1
WSB1	WSB1
WWC1	WWC1
WWP1	WWP1
WWTR1	WWTR1
XIAP	XIAP
XK	XK
XPNPEP1	XPNPEP1
XPNPEP2	XPNPEP2
XPO1	XPO1
XPO5	XPO5
XRCC5	XRCC5
XRN1	XRN1
XRN2	XRN2
XYLB	XYLB
XYLT1	XYLT1
YAF2	YAF2
YIPF4	YIPF4
YLPM1	YLPM1
YPEL1	YPEL1
YPEL3	YPEL3
YTHDC1	YTHDC1
YTHDC2	YTHDC2
YWHAE	YWHAE
ZBED4	ZBED4
ZBTB16	ZBTB16
ZBTB25	ZBTB25
ZBTB32	ZBTB32
ZC3H11A	ZC3H11A
ZC3H12B	ZC3H12B
ZC3H13	ZC3H13
ZC3H14	ZC3H14
ZC3H7A	ZC3H7A
ZC3HAV1	ZC3HAV1
ZC3HC1	ZC3HC1
ZCCHC17	ZCCHC17
ZCCHC6	ZCCHC6
ZCCHC8	ZCCHC8
ZDHHC15	ZDHHC15
ZDHHC2	ZDHHC2
ZDHHC6	ZDHHC6
ZEB1	ZEB1
ZEB2	ZEB2
ZFAND1	ZFAND1
ZFAND5	ZFAND5
ZFAND6	ZFAND6
ZFAT	ZFAT
ZFHX4	ZFHX4
ZFP30	ZFP30
ZFP64	ZFP64
ZFR	ZFR
ZFYVE16	ZFYVE16
ZFYVE26	ZFYVE26
ZKSCAN1	ZKSCAN1
ZMAT5	ZMAT5
ZMYM2	ZMYM2
ZMYND10	ZMYND10
ZMYND11	ZMYND11
ZNF14	ZNF14
ZNF175	ZNF175
ZNF207	ZNF207
ZNF211	ZNF211
ZNF263	ZNF263
ZNF264	ZNF264
ZNF280C	ZNF280C
ZNF302	ZNF302
ZNF330	ZNF330
ZNF346	ZNF346
ZNF37A	ZNF37A
ZNF391	ZNF391
ZNF410	ZNF410
ZNF423	ZNF423
ZNF451	ZNF451
ZNF45	ZNF45
ZNF500	ZNF500
ZNF506	ZNF506
ZNF510	ZNF510
ZNF516	ZNF516
ZNF541	ZNF541
ZNF549	ZNF549
ZNF582	ZNF582
ZNF586	ZNF586
ZNF629	ZNF629
ZNF638	ZNF638
ZNF644	ZNF644
ZNF684	ZNF684
ZNF703	ZNF703
ZNF706	ZNF706
ZNF76	ZNF76
ZNF800	ZNF800
ZNF831	ZNF831
ZNF839	ZNF839
ZNF85	ZNF85
ZNF862	ZNF862
ZNFX1	ZNFX1
ZNHIT6	ZNHIT6
ZPBP	ZPBP
ZRANB1	ZRANB1
ZRANB3	ZRANB3
ZSCAN20	ZSCAN20
ZW10	ZW10
ZWINT	ZWINT
ZZZ3	ZZZ3
